index,item
405637,http://www.wikidata.org/entity/Q19611447
51838,http://www.wikidata.org/entity/Q1309440
895913,http://www.wikidata.org/entity/Q137679646
77945,http://www.wikidata.org/entity/Q1873725
742095,http://www.wikidata.org/entity/Q111318368
269631,http://www.wikidata.org/entity/Q11070712
420364,http://www.wikidata.org/entity/Q20688910
36103,http://www.wikidata.org/entity/Q881950
428693,http://www.wikidata.org/entity/Q21060620
206711,http://www.wikidata.org/entity/Q6259525
777431,http://www.wikidata.org/entity/Q116932758
776464,http://www.wikidata.org/entity/Q115946272
595496,http://www.wikidata.org/entity/Q65574094
336584,http://www.wikidata.org/entity/Q15898668
321169,http://www.wikidata.org/entity/Q14086712
118570,http://www.wikidata.org/entity/Q3263131
179020,http://www.wikidata.org/entity/Q5707109
213554,http://www.wikidata.org/entity/Q6533037
184418,http://www.wikidata.org/entity/Q5816998
3825,http://www.wikidata.org/entity/Q69978
355846,http://www.wikidata.org/entity/Q16221439
584721,http://www.wikidata.org/entity/Q64003417
799791,http://www.wikidata.org/entity/Q123715618
159978,http://www.wikidata.org/entity/Q5076284
852820,http://www.wikidata.org/entity/Q130620797
148535,http://www.wikidata.org/entity/Q4777678
583729,http://www.wikidata.org/entity/Q64003069
701784,http://www.wikidata.org/entity/Q106957859
98734,http://www.wikidata.org/entity/Q2650738
860290,http://www.wikidata.org/entity/Q131670829
822661,http://www.wikidata.org/entity/Q123887517
840971,http://www.wikidata.org/entity/Q125789969
558707,http://www.wikidata.org/entity/Q61880403
326566,http://www.wikidata.org/entity/Q14853025
251463,http://www.wikidata.org/entity/Q9155830
162739,http://www.wikidata.org/entity/Q5235670
747945,http://www.wikidata.org/entity/Q111539885
235534,http://www.wikidata.org/entity/Q7606306
863484,http://www.wikidata.org/entity/Q133288676
408442,http://www.wikidata.org/entity/Q19877221
199839,http://www.wikidata.org/entity/Q6193539
767863,http://www.wikidata.org/entity/Q115043621
641383,http://www.wikidata.org/entity/Q85974868
562090,http://www.wikidata.org/entity/Q61892709
497786,http://www.wikidata.org/entity/Q31792770
288195,http://www.wikidata.org/entity/Q11884369
864547,http://www.wikidata.org/entity/Q133298030
391179,http://www.wikidata.org/entity/Q18216344
